"תנ""ך/תורה/ספר בראשית/פרק א/פסוק ב",והארץ היתה תהו ובהו וחשך *על *פני תהום ורוח אלהים מרחפת *על *פני המים
"תנ""ך/תורה/ספר בראשית/פרק א/פסוק ז",ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר *מעל* לרקיע ויהי כן
"תנ""ך/תורה/ספר בראשית/פרק א/פסוק יא",ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו *על *הארץ ויהי כן
"תנ""ך/תורה/ספר בראשית/פרק א/פסוק טו",והיו למאורת ברקיע השמים להאיר *על *הארץ ויהי כן
"תנ""ך/תורה/ספר בראשית/פרק א/פסוק יז",ויתן אתם אלהים ברקיע השמים להאיר *על *הארץ
"תנ""ך/תורה/ספר בראשית/פרק א/פסוק כ",ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף *על *הארץ *על *פני רקיע השמים
"תנ""ך/תורה/ספר בראשית/פרק א/פסוק כו",ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש *על *הארץ
"תנ""ך/תורה/ספר בראשית/פרק א/פסוק כח",ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל חיה הרמשת *על *הארץ
"תנ""ך/תורה/ספר בראשית/פרק א/פסוק כט",ויאמר אלהים הנה נתתי לכם את כל עשב  זרע זרע אשר *על *פני כל הארץ ואת כל העץ אשר בו פרי עץ זרע זרע לכם יהיה לאכלה
"תנ""ך/תורה/ספר בראשית/פרק א/פסוק ל",ולכל חית הארץ ולכל עוף השמים ולכל  רומש *על *הארץ אשר בו נפש חיה את כל ירק עשב לאכלה ויהי כן
"תנ""ך/תורה/ספר בראשית/פרק ב/פסוק ה",וכל  שיח השדה טרם יהיה בארץ וכל עשב השדה טרם יצמח כי לא המטיר יהוה אלהים *על *הארץ ואדם אין לעבד את האדמה
"תנ""ך/תורה/ספר בראשית/פרק ב/פסוק טז",ויצו יהוה אלהים *על *האדם לאמר מכל עץ הגן אכל תאכל
"תנ""ך/תורה/ספר בראשית/פרק ב/פסוק כא",ויפל יהוה אלהים  תרדמה *על *האדם ויישן ויקח אחת מצלעתיו ויסגר בשר תחתנה
"תנ""ך/תורה/ספר בראשית/פרק ב/פסוק כד",*על *כן יעזב איש את אביו ואת אמו ודבק באשתו והיו לבשר אחד
